gender,age,married,n_of_dependents,n_of_referrals,tenure_in_months,offer,phone_service,multiple_lines,internet_service,internet_type,avg_monthly_gb_download,online_security,online_backup,device_protection_plan,premium_tech_support,streaming_tv,streaming_movies,streaming_music,unlimited_data,contract,paperless_billing,payment_method,ttl_refunds,ttl_extra_data_chg,ttl_l_distance_chg,ttl_revenue,customer_status
Male,24,No,0,0.0,60,Offer B,Yes,No,Yes,DSL,26.0,Yes,Yes,Yes,No,No,No,No,Yes,Two Year,No,Bank Withdrawal,0.0,0,1855.2,5493.45,0
Male,39,Yes,0,3.0,52,No Offer,Yes,Yes,Yes,Cable,3.0,No,Yes,No,Yes,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,0.0,0,2321.8,5491.35,0
Female,53,No,0,0.0,17,No Offer,Yes,Yes,Yes,DSL,14.0,No,No,Yes,Yes,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,33.67,0,93.33,1167.66,0
Female,79,No,0,0.0,9,No Offer,Yes,No,Yes,Fiber Optic,2.0,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,0.0,0,390.06,1141.71,1
Female,64,No,0,0.0,63,Offer B,Yes,Yes,No,Fiber Optic,26.22592945662536,No,No,Yes,No,Yes,Yes,Yes,Yes,Two Year,No,Credit Card,0.0,0,1684.62,3302.82,0
Female,65,No,0,0.0,46,Offer B,Yes,No,Yes,Fiber Optic,26.0,No,Yes,Yes,No,Yes,No,No,Yes,One Year,Yes,Bank Withdrawal,0.0,0,548.78,4675.13,0
Female,51,No,0,0.0,42,No Offer,No,No,Yes,DSL,13.0,Yes,Yes,Yes,Yes,No,Yes,Yes,No,One Year,Yes,Bank Withdrawal,0.0,80,0.0,2428.45,0
Male,53,Yes,0,0.0,51,No Offer,Yes,Yes,Yes,Fiber Optic,30.0,No,Yes,No,No,No,Yes,Yes,Yes,One Year,Yes,Credit Card,0.0,0,469.71,5084.26,0
Male,38,Yes,3,1.0,53,No Offer,Yes,No,No,Cable,26.22592945662536,No,No,Yes,Yes,Yes,No,Yes,Yes,One Year,No,Credit Card,0.0,0,1083.32,2151.47,0
Male,64,No,0,0.0,42,No Offer,Yes,Yes,Yes,Fiber Optic,16.0,No,Yes,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,0.0,0,789.18,5062.63,1
Male,67,No,0,0.0,5,No Offer,Yes,No,Yes,Fiber Optic,6.0,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,0.0,0,228.6,706.3,1
Male,34,Yes,0,1.0,54,No Offer,Yes,No,Yes,Fiber Optic,9.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Bank Withdrawal,0.0,0,2272.86,8383.06,1
Male,42,No,0,0.0,1,Offer E,Yes,No,No,Fiber Optic,26.22592945662536,No,Yes,No,No,Yes,No,Yes,Yes,Month-to-Month,Yes,Credit Card,0.0,0,48.96,68.41,1
Female,33,Yes,0,6.0,34,No Offer,Yes,No,Yes,DSL,7.0,No,No,No,Yes,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,0.0,0,1382.78,3198.08,0
Female,74,No,0,0.0,32,No Offer,Yes,No,Yes,Fiber Optic,12.0,No,No,No,No,No,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,0.0,0,1555.84,4220.84,0
Female,47,No,0,0.0,4,Offer E,Yes,Yes,Yes,Fiber Optic,4.0,No,Yes,No,Yes,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,0.0,0,29.56,391.76,1
Female,30,No,0,0.0,54,Offer B,Yes,Yes,Yes,Fiber Optic,30.0,No,Yes,Yes,No,Yes,No,No,No,One Year,Yes,Bank Withdrawal,0.0,70,2033.1,7224.85,0
Female,73,Yes,0,1.0,47,No Offer,Yes,No,Yes,Fiber Optic,26.0,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,26.99,0,1266.65,4548.91,1
Female,50,Yes,2,1.0,11,No Offer,Yes,Yes,No,Fiber Optic,26.22592945662536,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Two Year,No,Credit Card,0.0,0,165.44,466.14,0
Male,51,Yes,3,0.0,8,Offer E,Yes,No,No,Fiber Optic,26.22592945662536,No,No,Yes,Yes,Yes,Yes,No,Yes,Month-to-Month,Yes,Mailed Check,0.0,0,278.96,431.56,0
Male,53,No,0,0.0,1,No Offer,No,Yes,Yes,DSL,9.0,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,0.0,0,0.0,35.25,1
Female,49,Yes,0,5.0,34,Offer C,Yes,Yes,No,Fiber Optic,26.22592945662536,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,0.0,0,391.68,1171.88,0
Male,40,No,3,0.0,9,Offer E,Yes,No,Yes,DSL,27.0,No,No,No,No,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,0.0,0,369.18,818.93,1
Male,74,Yes,0,6.0,46,No Offer,Yes,Yes,Yes,Fiber Optic,22.0,No,No,Yes,No,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,0.0,0,193.2,4758.1,0
Male,39,Yes,0,6.0,60,Offer B,Yes,No,Yes,DSL,16.0,Yes,No,No,No,Yes,No,No,Yes,One Year,Yes,Credit Card,0.0,0,914.4,4475.55,0
Male,26,No,0,0.0,39,Offer C,Yes,No,No,DSL,26.22592945662536,No,Yes,No,Yes,Yes,Yes,No,Yes,One Year,No,Credit Card,20.17,0,1872.78,2643.76,0
Male,24,Yes,1,4.0,35,Offer C,Yes,No,No,DSL,26.22592945662536,No,Yes,No,No,No,Yes,No,Yes,One Year,No,Bank Withdrawal,0.0,0,1435.7,2182.45,0
Male,55,No,3,0.0,25,No Offer,Yes,No,No,Fiber Optic,26.22592945662536,No,No,No,Yes,Yes,Yes,No,Yes,Month-to-Month,No,Credit Card,21.81,0,76.75,515.14,0
Male,59,No,0,0.0,1,No Offer,Yes,No,Yes,Fiber Optic,6.0,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,0.0,0,4.04,83.59,1
Female,77,No,0,0.0,18,Offer D,Yes,No,No,Fiber Optic,26.22592945662536,No,Yes,Yes,No,No,No,Yes,No,One Year,No,Bank Withdrawal,0.0,0,675.54,1045.14,0
Male,63,No,1,0.0,66,No Offer,Yes,No,No,DSL,26.22592945662536,No,No,No,No,Yes,No,No,Yes,Two Year,No,Credit Card,0.0,0,2504.04,3773.14,0
Male,56,No,0,0.0,29,No Offer,Yes,Yes,Yes,Fiber Optic,21.0,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,47.04,0,275.21,2744.37,0
Female,80,No,0,0.0,45,Offer B,Yes,Yes,Yes,Cable,3.0,Yes,No,No,Yes,No,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,0.0,0,830.7,3893.15,0
Female,74,No,0,0.0,1,No Offer,No,No,Yes,Cable,5.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,0.0,0,0.0,25.2,1
Female,19,No,0,0.0,18,Offer D,Yes,No,Yes,Fiber Optic,26.0,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,0.0,150,49.68,1447.43,0
Male,70,Yes,0,1.0,29,Offer C,Yes,Yes,Yes,Fiber Optic,21.0,No,Yes,Yes,No,No,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,0.0,50,1026.02,3821.22,1
Male,41,Yes,0,5.0,72,No Offer,Yes,Yes,Yes,DSL,9.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Credit Card,12.55,0,1941.12,8491.47,0
Female,43,Yes,1,1.0,34,Offer C,Yes,No,No,Fiber Optic,26.22592945662536,Yes,Yes,Yes,No,No,No,Yes,Yes,One Year,Yes,Bank Withdrawal,0.0,0,1418.48,2100.58,0
Female,73,Yes,0,1.0,72,Offer A,Yes,Yes,Yes,Fiber Optic,27.0,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,0.0,0,330.48,8664.43,0
Female,63,No,0,0.0,10,No Offer,Yes,No,No,Fiber Optic,26.22592945662536,No,No,No,No,No,Yes,No,Yes,Month-to-Month,Yes,Mailed Check,0.0,0,47.6,234.95,0
Male,31,Yes,0,3.0,51,Offer B,Yes,Yes,Yes,Fiber Optic,21.0,No,Yes,Yes,No,Yes,Yes,Yes,No,One Year,Yes,Bank Withdrawal,0.0,140,1499.4,7138.2,0
Male,64,Yes,2,6.0,28,No Offer,Yes,No,Yes,Fiber Optic,12.0,No,No,Yes,No,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,0.0,0,89.04,2378.94,0
Female,23,No,0,0.0,13,No Offer,Yes,No,No,Fiber Optic,26.22592945662536,No,Yes,No,No,No,No,No,Yes,Two Year,Yes,Credit Card,0.0,0,85.28,346.58,0
Female,80,No,0,0.0,17,Offer D,Yes,No,Yes,Fiber Optic,28.0,No,Yes,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,0.0,0,516.29,2013.19,1
Female,59,No,0,0.0,12,Offer D,Yes,No,Yes,DSL,26.0,No,Yes,No,Yes,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,0.0,130,451.56,1236.06,0
Female,56,No,1,0.0,5,No Offer,Yes,No,Yes,DSL,14.0,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Mailed Check,0.0,0,119.45,341.15,1
Male,63,Yes,0,7.0,51,Offer B,Yes,Yes,Yes,Fiber Optic,8.0,Yes,Yes,No,No,No,Yes,Yes,Yes,One Year,Yes,Credit Card,0.0,0,1785.0,6696.05,0
Male,31,Yes,1,4.0,30,Offer C,Yes,Yes,Yes,Cable,19.0,Yes,Yes,Yes,Yes,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,0.0,0,1441.2,3441.4,0
Female,47,Yes,0,7.0,64,No Offer,Yes,No,No,Fiber Optic,26.22592945662536,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,0.0,0,1488.0,2824.65,0
Female,59,Yes,0,4.0,72,No Offer,Yes,Yes,Yes,Fiber Optic,27.0,Yes,No,No,No,No,No,No,No,Two Year,No,Bank Withdrawal,0.0,130,448.56,6316.16,0
Female,63,No,0,0.0,5,No Offer,Yes,Yes,No,Cable,26.22592945662536,No,Yes,No,No,Yes,Yes,No,Yes,Month-to-Month,No,Credit Card,0.0,0,27.05,161.8,0
Female,31,No,0,0.0,27,Offer C,Yes,No,Yes,Fiber Optic,2.0,No,No,Yes,Yes,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,0.0,0,1069.74,3453.34,0
Male,35,No,0,0.0,30,Offer C,Yes,No,Yes,Cable,24.0,Yes,No,Yes,No,No,No,No,Yes,Two Year,Yes,Mailed Check,0.0,0,1411.8,3065.65,0
Male,35,Yes,2,6.0,65,Offer B,Yes,Yes,Yes,Fiber Optic,19.0,Yes,Yes,Yes,Yes,No,No,No,Yes,Two Year,No,Credit Card,0.0,0,1269.45,7348.2,0
Female,44,Yes,2,6.0,61,Offer B,Yes,No,No,Fiber Optic,26.22592945662536,No,No,No,Yes,Yes,Yes,No,Yes,Two Year,No,Credit Card,0.0,0,1549.4,2861.0,0
Male,50,Yes,0,0.0,45,Offer B,Yes,Yes,Yes,Fiber Optic,27.0,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,0.0,0,1341.45,6224.25,0
Female,70,No,0,0.0,1,Offer E,Yes,Yes,Yes,Fiber Optic,23.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,0.0,0,48.95,123.15,1
Female,59,Yes,2,2.0,52,Offer B,Yes,No,Yes,Cable,29.0,No,No,Yes,No,No,No,No,Yes,One Year,Yes,Bank Withdrawal,0.0,0,521.56,3132.21,0
Male,61,Yes,2,5.0,24,Offer C,Yes,No,No,Fiber Optic,26.22592945662536,Yes,Yes,Yes,Yes,Yes,No,No,Yes,One Year,No,Mailed Check,0.0,0,979.44,1419.19,0
Female,54,No,0,0.0,70,Offer A,No,No,Yes,DSL,13.0,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,0.0,0,0.0,4214.25,0
Female,35,Yes,1,3.0,39,No Offer,Yes,No,No,Cable,26.22592945662536,No,Yes,No,Yes,No,Yes,No,No,Two Year,Yes,Bank Withdrawal,0.0,0,1270.23,2125.03,0
Male,20,No,0,0.0,42,No Offer,Yes,Yes,No,Cable,26.22592945662536,Yes,No,Yes,Yes,No,No,Yes,Yes,One Year,No,Bank Withdrawal,0.0,0,1160.88,2110.73,0
Female,56,Yes,3,6.0,13,No Offer,Yes,No,No,Fiber Optic,26.22592945662536,No,No,Yes,No,No,Yes,Yes,Yes,Two Year,No,Credit Card,0.0,0,359.06,631.41,0
Female,71,Yes,1,7.0,22,Offer D,Yes,Yes,Yes,Fiber Optic,27.0,No,No,No,No,Yes,No,No,Yes,Two Year,No,Bank Withdrawal,0.0,0,884.18,2845.78,0
Female,80,No,0,0.0,1,No Offer,Yes,No,Yes,Fiber Optic,8.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,0.0,0,47.97,118.12,1
Female,43,No,0,0.0,8,No Offer,Yes,No,Yes,DSL,24.0,Yes,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,0.0,0,374.24,861.99,0
Male,61,No,1,0.0,8,No Offer,Yes,No,No,Fiber Optic,26.22592945662536,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Credit Card,0.0,0,114.96,293.66,0
Male,62,Yes,1,1.0,64,No Offer,Yes,Yes,No,Fiber Optic,26.22592945662536,Yes,No,No,No,No,No,No,Yes,Two Year,Yes,Credit Card,0.0,0,2256.0,3770.85,0
Female,47,No,0,0.0,26,No Offer,No,No,Yes,DSL,7.0,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,0.0,0,0.0,1277.5,0
Male,38,Yes,0,1.0,1,No Offer,Yes,No,Yes,Fiber Optic,4.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,0.0,0,38.8,108.8,1
Female,65,No,0,0.0,4,No Offer,Yes,No,No,DSL,26.22592945662536,No,Yes,No,No,No,Yes,Yes,Yes,Two Year,No,Credit Card,0.0,0,167.92,259.37,0
Female,66,Yes,0,1.0,40,No Offer,No,Yes,Yes,Cable,3.0,No,Yes,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,0.0,0,0.0,1637.4,1
Female,48,No,0,0.0,36,No Offer,Yes,No,Yes,Cable,23.0,Yes,Yes,Yes,Yes,No,Yes,Yes,No,One Year,Yes,Credit Card,0.0,100,1152.0,3932.15,0
Male,77,No,0,0.0,41,Offer B,Yes,Yes,Yes,Fiber Optic,21.0,No,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,0.0,0,1724.46,5912.21,1
Male,31,No,0,0.0,21,Offer D,Yes,No,No,Cable,26.22592945662536,No,No,No,No,Yes,No,Yes,Yes,Month-to-Month,No,Credit Card,0.0,0,690.69,1093.54,0
Male,35,Yes,0,1.0,11,Offer D,Yes,Yes,Yes,Fiber Optic,19.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,0.0,0,100.54,934.74,1
Female,47,No,0,0.0,58,No Offer,Yes,Yes,Yes,Fiber Optic,14.0,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,0.0,0,1317.18,5844.03,0
Male,57,Yes,0,3.0,12,No Offer,Yes,No,Yes,Fiber Optic,18.0,Yes,No,No,Yes,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,23.72,0,219.12,1061.85,1
Female,28,No,0,0.0,29,No Offer,Yes,No,No,Cable,26.22592945662536,No,No,No,No,Yes,Yes,Yes,Yes,One Year,No,Mailed Check,0.0,0,614.51,1231.86,0
Female,21,No,0,0.0,11,Offer D,Yes,No,Yes,DSL,41.0,Yes,No,No,Yes,No,No,No,Yes,One Year,Yes,Mailed Check,0.0,0,12.76,630.61,0
Male,65,Yes,0,1.0,69,No Offer,Yes,Yes,Yes,Fiber Optic,4.0,No,Yes,No,No,Yes,No,No,No,Month-to-Month,Yes,Bank Withdrawal,6.79,110,1127.46,7373.82,1
Female,79,Yes,0,1.0,20,No Offer,Yes,Yes,Yes,Fiber Optic,17.0,No,No,Yes,No,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,0.0,0,95.4,2046.4,1
Female,38,No,0,0.0,22,No Offer,Yes,No,Yes,Fiber Optic,2.0,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,0.0,0,396.22,2304.07,1
Female,44,Yes,1,3.0,64,No Offer,Yes,Yes,Yes,DSL,19.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Mailed Check,0.0,0,2368.0,8185.45,0
Female,31,Yes,2,1.0,39,No Offer,Yes,Yes,No,Cable,26.22592945662536,No,No,Yes,No,No,Yes,Yes,Yes,One Year,Yes,Credit Card,0.0,0,229.32,1143.92,0
Male,55,No,0,0.0,48,No Offer,Yes,Yes,Yes,Fiber Optic,4.0,No,Yes,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Credit Card,0.0,0,1187.04,6269.84,1
Male,39,No,0,0.0,22,Offer D,Yes,No,Yes,Fiber Optic,12.0,No,Yes,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,0.0,0,870.76,2872.26,1
Male,69,No,0,0.0,10,No Offer,Yes,No,Yes,Fiber Optic,24.0,No,Yes,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,0.0,30,54.6,773.25,1
Male,47,No,0,0.0,8,No Offer,Yes,No,Yes,DSL,27.0,Yes,No,Yes,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,0.0,0,329.04,908.04,0
Female,53,No,0,0.0,1,No Offer,Yes,No,Yes,Fiber Optic,3.0,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,0.0,0,41.39,111.89,1
Female,56,No,0,0.0,16,Offer D,Yes,No,No,Fiber Optic,26.22592945662536,No,Yes,Yes,No,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,0.0,0,704.8,1065.15,0
Male,42,Yes,1,7.0,7,Offer E,Yes,No,Yes,DSL,17.0,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,0.0,0,200.9,534.55,0
Female,36,No,0,0.0,41,No Offer,Yes,Yes,Yes,DSL,30.0,No,No,Yes,Yes,No,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,0.0,0,1514.13,4391.18,0
Female,49,No,0,0.0,5,No Offer,Yes,No,No,Fiber Optic,26.22592945662536,Yes,Yes,No,Yes,No,Yes,No,Yes,Month-to-Month,No,Credit Card,0.0,0,122.65,218.75,0
Male,71,No,0,0.0,55,No Offer,No,Yes,Yes,DSL,23.0,No,No,Yes,No,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,0.0,0,0.0,2743.45,0
Female,62,Yes,0,1.0,7,No Offer,Yes,Yes,Yes,Fiber Optic,11.0,No,No,No,No,Yes,No,No,No,Month-to-Month,Yes,Bank Withdrawal,0.0,20,158.27,760.77,1
Male,31,No,0,0.0,21,No Offer,Yes,No,No,DSL,26.22592945662536,No,Yes,No,Yes,Yes,No,No,Yes,One Year,Yes,Credit Card,0.0,0,473.13,895.83,0
Male,31,Yes,2,3.0,68,Offer A,Yes,No,Yes,Fiber Optic,18.0,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Two Year,No,Bank Withdrawal,0.0,0,631.72,7315.12,0
Male,38,Yes,1,1.0,58,No Offer,Yes,No,Yes,Fiber Optic,24.0,No,Yes,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,0.0,0,2766.02,8071.07,0
Male,79,Yes,0,6.0,33,No Offer,Yes,Yes,Yes,Fiber Optic,22.0,No,Yes,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,0.0,0,1455.3,4725.55,0
Male,21,Yes,0,3.0,33,No Offer,Yes,No,No,Cable,26.22592945662536,No,Yes,No,No,No,Yes,No,Yes,One Year,No,Credit Card,0.0,0,1629.21,2249.76,0
Male,35,No,0,0.0,1,Offer E,Yes,No,No,Fiber Optic,26.22592945662536,Yes,No,No,Yes,No,No,No,Yes,Month-to-Month,No,Credit Card,0.0,0,40.51,60.66,1
Male,43,Yes,0,1.0,56,No Offer,Yes,No,Yes,Fiber Optic,14.0,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,No,Credit Card,41.66,0,212.24,5123.53,0
Female,32,Yes,0,1.0,72,No Offer,Yes,Yes,Yes,Fiber Optic,3.0,Yes,No,Yes,Yes,Yes,No,No,Yes,Two Year,Yes,Bank Withdrawal,0.0,0,1834.56,8850.46,0
Female,22,Yes,0,4.0,67,No Offer,Yes,No,No,Cable,26.22592945662536,Yes,Yes,No,No,No,Yes,Yes,No,Two Year,No,Credit Card,0.0,0,2211.67,3546.87,0
Female,57,Yes,0,1.0,45,Offer B,Yes,Yes,Yes,Fiber Optic,4.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Mailed Check,0.0,0,1509.3,6541.55,0
Male,57,Yes,0,1.0,72,No Offer,Yes,Yes,Yes,Cable,11.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,0.0,0,2517.84,8959.69,0
Female,23,Yes,0,4.0,10,No Offer,Yes,No,No,DSL,26.22592945662536,No,Yes,No,No,Yes,No,No,Yes,One Year,No,Credit Card,0.0,0,140.4,324.8,0
Male,47,No,0,0.0,59,No Offer,Yes,No,No,Fiber Optic,26.22592945662536,No,No,Yes,No,No,No,Yes,Yes,Two Year,Yes,Bank Withdrawal,0.0,0,2783.03,3975.33,0
Male,62,Yes,0,4.0,30,No Offer,Yes,Yes,Yes,DSL,8.0,No,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,0.0,100,166.8,1708.75,0
Male,61,Yes,2,5.0,52,No Offer,Yes,No,Yes,DSL,12.0,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Two Year,No,Bank Withdrawal,0.0,0,859.56,4875.86,0
Male,35,No,0,0.0,10,No Offer,Yes,Yes,Yes,Fiber Optic,13.0,No,Yes,Yes,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,0.0,0,264.3,1285.85,0
Male,59,No,0,0.0,1,No Offer,Yes,No,Yes,DSL,7.0,No,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,0.0,30,28.37,103.67,1
Female,31,No,0,0.0,1,Offer E,Yes,No,No,Fiber Optic,26.22592945662536,No,No,Yes,No,Yes,No,Yes,Yes,Month-to-Month,No,Mailed Check,0.0,0,22.12,42.52,1
Male,59,No,0,0.0,20,Offer D,Yes,No,No,Fiber Optic,26.22592945662536,Yes,Yes,No,No,Yes,No,Yes,No,One Year,Yes,Mailed Check,0.0,0,602.6,1018.5,0
Female,65,No,0,0.0,14,Offer D,Yes,Yes,Yes,Fiber Optic,6.0,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,0.0,0,229.04,1330.89,1
Male,37,No,0,0.0,16,No Offer,Yes,Yes,Yes,Fiber Optic,18.0,No,No,No,Yes,No,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,0.0,0,191.36,1639.96,1
Female,38,No,0,0.0,35,No Offer,Yes,Yes,No,DSL,26.22592945662536,No,No,No,Yes,No,Yes,No,Yes,Two Year,No,Bank Withdrawal,0.0,0,228.2,1025.3,0
Female,46,Yes,0,7.0,65,No Offer,Yes,No,Yes,Cable,14.0,No,No,No,Yes,Yes,No,No,Yes,Two Year,Yes,Credit Card,0.0,0,664.95,4473.15,0
Male,47,Yes,0,3.0,7,Offer E,No,Yes,Yes,DSL,17.0,Yes,Yes,No,No,No,No,No,Yes,Month-to-Month,No,Credit Card,0.0,0,0.0,256.6,0
Female,69,Yes,0,1.0,1,No Offer,Yes,No,Yes,DSL,19.0,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,0.0,0,7.74,53.74,1
Female,72,No,0,0.0,1,No Offer,Yes,No,Yes,Fiber Optic,5.0,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,0.0,0,20.55,93.55,1
Female,68,No,0,0.0,3,No Offer,Yes,Yes,Yes,Fiber Optic,30.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,0.0,0,71.46,327.71,1
Female,44,No,0,0.0,2,No Offer,Yes,No,Yes,Fiber Optic,16.0,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,0.0,0,16.64,181.14,1
Female,27,Yes,2,1.0,23,No Offer,Yes,Yes,No,DSL,26.22592945662536,No,Yes,No,Yes,No,No,No,Yes,Two Year,Yes,Credit Card,0.0,0,587.42,1102.17,0
Female,47,No,0,0.0,29,No Offer,Yes,Yes,No,Fiber Optic,26.22592945662536,Yes,Yes,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,0.0,0,131.37,833.37,0
Female,44,No,0,0.0,43,Offer B,Yes,No,No,DSL,26.22592945662536,No,Yes,No,No,No,No,Yes,Yes,Two Year,Yes,Bank Withdrawal,0.0,0,288.53,1067.78,0
Male,73,No,0,0.0,18,Offer D,Yes,Yes,Yes,DSL,7.0,Yes,Yes,No,No,No,No,No,Yes,Two Year,Yes,Credit Card,0.0,0,852.12,1817.02,0
Male,75,Yes,0,1.0,27,No Offer,Yes,Yes,Yes,Fiber Optic,23.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,0.0,0,286.2,2180.15,1
Female,45,No,0,0.0,9,Offer E,Yes,No,No,Fiber Optic,26.22592945662536,No,No,No,No,No,Yes,No,Yes,Month-to-Month,No,Credit Card,0.0,0,281.52,439.17,0
Female,36,No,0,0.0,27,No Offer,Yes,No,No,Fiber Optic,26.22592945662536,No,No,Yes,No,Yes,Yes,Yes,Yes,One Year,No,Credit Card,0.0,0,544.86,1046.21,0
Female,67,Yes,0,1.0,70,Offer A,Yes,Yes,Yes,DSL,21.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,0.0,0,1306.9,7781.35,0
Female,51,No,0,0.0,58,Offer B,Yes,Yes,Yes,Fiber Optic,19.0,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,0.0,0,2708.6,9041.35,0
Male,51,No,0,0.0,46,No Offer,Yes,Yes,Yes,Fiber Optic,22.0,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Bank Withdrawal,0.0,0,1725.0,6628.2,0
Female,24,No,0,0.0,1,Offer E,Yes,No,No,Fiber Optic,26.22592945662536,Yes,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,No,Credit Card,0.0,0,26.12,46.62,1
Male,62,No,0,0.0,66,Offer A,Yes,No,Yes,Cable,26.0,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,0.0,0,1704.12,8414.62,1
